time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-06T00:00:00.0000000Z,2021-08-06T00:15:00.0000000Z,2021-08-06T00:00:00.3560000Z,2021-08-06T00:14:59.6520000Z,6.22e-06,6.22e-06,6.18e-06,6.19e-06,72997472335,1269
2021-08-06T00:15:00.0000000Z,2021-08-06T00:30:00.0000000Z,2021-08-06T00:15:00.0150000Z,2021-08-06T00:29:59.8590000Z,6.18e-06,6.2e-06,6.15e-06,6.17e-06,82819604774,1445
2021-08-06T00:30:00.0000000Z,2021-08-06T00:45:00.0000000Z,2021-08-06T00:30:03.3820000Z,2021-08-06T00:44:59.1780000Z,6.17e-06,6.18e-06,6.16e-06,6.17e-06,30878615211,708
2021-08-06T00:45:00.0000000Z,2021-08-06T01:00:00.0000000Z,2021-08-06T00:45:00.9780000Z,2021-08-06T00:59:57.0810000Z,6.17e-06,6.18e-06,6.15e-06,6.15e-06,56901725851,1194
2021-08-06T01:00:00.0000000Z,2021-08-06T01:15:00.0000000Z,2021-08-06T01:00:00.1140000Z,2021-08-06T01:14:57.6550000Z,6.15e-06,6.17e-06,6.15e-06,6.16e-06,33856288984,719
2021-08-06T01:15:00.0000000Z,2021-08-06T01:30:00.0000000Z,2021-08-06T01:15:00.3270000Z,2021-08-06T01:29:58.1090000Z,6.16e-06,6.18e-06,6.15e-06,6.17e-06,30037593255,625
2021-08-06T01:30:00.0000000Z,2021-08-06T01:45:00.0000000Z,2021-08-06T01:30:00.0420000Z,2021-08-06T01:44:58.5650000Z,6.18e-06,6.18e-06,6.17e-06,6.18e-06,16010831930,500
2021-08-06T01:45:00.0000000Z,2021-08-06T02:00:00.0000000Z,2021-08-06T01:45:02.5320000Z,2021-08-06T01:59:57.9610000Z,6.18e-06,6.18e-06,6.17e-06,6.18e-06,13577545655,452
2021-08-06T02:00:00.0000000Z,2021-08-06T02:15:00.0000000Z,2021-08-06T02:00:02.0750000Z,2021-08-06T02:14:59.2000000Z,6.18e-06,6.19e-06,6.17e-06,6.17e-06,19655913013,505
2021-08-06T02:15:00.0000000Z,2021-08-06T02:30:00.0000000Z,2021-08-06T02:15:01.3130000Z,2021-08-06T02:29:56.1640000Z,6.18e-06,6.18e-06,6.17e-06,6.18e-06,16666114508,457
2021-08-06T02:30:00.0000000Z,2021-08-06T02:45:00.0000000Z,2021-08-06T02:30:05.9820000Z,2021-08-06T02:44:57.5610000Z,6.18e-06,6.18e-06,6.16e-06,6.16e-06,35573968089,795
2021-08-06T02:45:00.0000000Z,2021-08-06T03:00:00.0000000Z,2021-08-06T02:45:05.4350000Z,2021-08-06T02:59:58.5030000Z,6.17e-06,6.17e-06,6.16e-06,6.16e-06,17878046497,599
2021-08-06T03:00:00.0000000Z,2021-08-06T03:15:00.0000000Z,2021-08-06T03:00:00.6140000Z,2021-08-06T03:14:48.6250000Z,6.17e-06,6.17e-06,6.15e-06,6.16e-06,29285428753,719
2021-08-06T03:15:00.0000000Z,2021-08-06T03:30:00.0000000Z,2021-08-06T03:15:02.4790000Z,2021-08-06T03:29:58.4660000Z,6.16e-06,6.17e-06,6.15e-06,6.16e-06,34351451469,639
2021-08-06T03:30:00.0000000Z,2021-08-06T03:45:00.0000000Z,2021-08-06T03:30:04.7100000Z,2021-08-06T03:44:57.2620000Z,6.16e-06,6.17e-06,6.15e-06,6.16e-06,25875853928,576
2021-08-06T03:45:00.0000000Z,2021-08-06T04:00:00.0000000Z,2021-08-06T03:45:03.2130000Z,2021-08-06T03:59:59.8990000Z,6.17e-06,6.17e-06,6.15e-06,6.15e-06,22110768519,602
2021-08-06T04:00:00.0000000Z,2021-08-06T04:15:00.0000000Z,2021-08-06T04:00:04.6220000Z,2021-08-06T04:14:57.4250000Z,6.15e-06,6.17e-06,6.15e-06,6.16e-06,36253849423,763
2021-08-06T04:15:00.0000000Z,2021-08-06T04:30:00.0000000Z,2021-08-06T04:15:00.7010000Z,2021-08-06T04:29:58.5370000Z,6.15e-06,6.16e-06,6.14e-06,6.15e-06,42502795585,787
2021-08-06T04:30:00.0000000Z,2021-08-06T04:45:00.0000000Z,2021-08-06T04:30:03.6580000Z,2021-08-06T04:44:59.7580000Z,6.14e-06,6.16e-06,6.14e-06,6.15e-06,26539757642,658
2021-08-06T04:45:00.0000000Z,2021-08-06T05:00:00.0000000Z,2021-08-06T04:45:03.9430000Z,2021-08-06T04:59:57.2000000Z,6.15e-06,6.16e-06,6.14e-06,6.15e-06,25371031448,566
2021-08-06T05:00:00.0000000Z,2021-08-06T05:15:00.0000000Z,2021-08-06T05:00:06.5790000Z,2021-08-06T05:14:58.4300000Z,6.14e-06,6.15e-06,6.13e-06,6.14e-06,37332531775,866
2021-08-06T05:15:00.0000000Z,2021-08-06T05:30:00.0000000Z,2021-08-06T05:15:07.0520000Z,2021-08-06T05:29:58.6830000Z,6.15e-06,6.16e-06,6.14e-06,6.16e-06,38191904805,774
2021-08-06T05:30:00.0000000Z,2021-08-06T05:45:00.0000000Z,2021-08-06T05:30:00.0350000Z,2021-08-06T05:44:58.8470000Z,6.15e-06,6.18e-06,6.15e-06,6.17e-06,50036606854,868
2021-08-06T05:45:00.0000000Z,2021-08-06T06:00:00.0000000Z,2021-08-06T05:45:00.4370000Z,2021-08-06T05:59:59.7510000Z,6.16e-06,6.18e-06,6.16e-06,6.17e-06,37076166569,800
2021-08-06T06:00:00.0000000Z,2021-08-06T06:15:00.0000000Z,2021-08-06T06:00:03.2100000Z,2021-08-06T06:14:57.8940000Z,6.18e-06,6.18e-06,6.17e-06,6.17e-06,27432479439,766
2021-08-06T06:15:00.0000000Z,2021-08-06T06:30:00.0000000Z,2021-08-06T06:15:02.6160000Z,2021-08-06T06:29:55.0930000Z,6.17e-06,6.2e-06,6.17e-06,6.18e-06,69645001468,1469
2021-08-06T06:30:00.0000000Z,2021-08-06T06:45:00.0000000Z,2021-08-06T06:30:00.0770000Z,2021-08-06T06:44:58.6800000Z,6.19e-06,6.19e-06,6.16e-06,6.18e-06,48854802028,1066
2021-08-06T06:45:00.0000000Z,2021-08-06T07:00:00.0000000Z,2021-08-06T06:45:08.4220000Z,2021-08-06T06:59:59.6170000Z,6.17e-06,6.19e-06,6.16e-06,6.17e-06,51181816953,1032
2021-08-06T07:00:00.0000000Z,2021-08-06T07:15:00.0000000Z,2021-08-06T07:00:05.1760000Z,2021-08-06T07:14:59.4130000Z,6.18e-06,6.18e-06,6.16e-06,6.16e-06,61633121055,1397
2021-08-06T07:15:00.0000000Z,2021-08-06T07:30:00.0000000Z,2021-08-06T07:15:02.4770000Z,2021-08-06T07:29:59.9190000Z,6.17e-06,6.17e-06,6.15e-06,6.16e-06,53761307650,1083
2021-08-06T07:30:00.0000000Z,2021-08-06T07:45:00.0000000Z,2021-08-06T07:30:01.8070000Z,2021-08-06T07:44:57.5200000Z,6.15e-06,6.17e-06,6.15e-06,6.17e-06,36268809371,884
2021-08-06T07:45:00.0000000Z,2021-08-06T08:00:00.0000000Z,2021-08-06T07:45:00.1320000Z,2021-08-06T07:59:59.2100000Z,6.16e-06,6.17e-06,6.15e-06,6.17e-06,48388848912,1088
2021-08-06T08:00:00.0000000Z,2021-08-06T08:15:00.0000000Z,2021-08-06T08:00:00.8020000Z,2021-08-06T08:14:57.1050000Z,6.15e-06,6.17e-06,6.15e-06,6.16e-06,43826008308,1127
2021-08-06T08:15:00.0000000Z,2021-08-06T08:30:00.0000000Z,2021-08-06T08:15:01.6510000Z,2021-08-06T08:29:59.9070000Z,6.17e-06,6.17e-06,6.13e-06,6.13e-06,143554118068,2743
2021-08-06T08:30:00.0000000Z,2021-08-06T08:45:00.0000000Z,2021-08-06T08:30:00.5140000Z,2021-08-06T08:44:54.9370000Z,6.13e-06,6.15e-06,6.13e-06,6.15e-06,61662021886,1217
2021-08-06T08:45:00.0000000Z,2021-08-06T09:00:00.0000000Z,2021-08-06T08:45:01.5020000Z,2021-08-06T08:59:59.6170000Z,6.15e-06,6.16e-06,6.14e-06,6.15e-06,78626461166,1458
2021-08-06T09:00:00.0000000Z,2021-08-06T09:15:00.0000000Z,2021-08-06T09:00:01.6470000Z,2021-08-06T09:14:59.0780000Z,6.16e-06,6.17e-06,6.15e-06,6.15e-06,71995213976,1665
2021-08-06T09:15:00.0000000Z,2021-08-06T09:30:00.0000000Z,2021-08-06T09:15:00.1430000Z,2021-08-06T09:29:58.9000000Z,6.15e-06,6.18e-06,6.15e-06,6.18e-06,74124163311,1812
2021-08-06T09:30:00.0000000Z,2021-08-06T09:45:00.0000000Z,2021-08-06T09:30:00.6940000Z,2021-08-06T09:44:59.7150000Z,6.17e-06,6.18e-06,6.16e-06,6.16e-06,69236661445,1502
2021-08-06T09:45:00.0000000Z,2021-08-06T10:00:00.0000000Z,2021-08-06T09:45:00.0470000Z,2021-08-06T09:59:59.8720000Z,6.17e-06,6.17e-06,6.16e-06,6.16e-06,52917614725,1371
2021-08-06T10:00:00.0000000Z,2021-08-06T10:15:00.0000000Z,2021-08-06T10:00:01.0690000Z,2021-08-06T10:14:59.6980000Z,6.16e-06,6.17e-06,6.15e-06,6.16e-06,53254891614,1483
2021-08-06T10:15:00.0000000Z,2021-08-06T10:30:00.0000000Z,2021-08-06T10:15:00.5570000Z,2021-08-06T10:29:59.3490000Z,6.15e-06,6.17e-06,6.15e-06,6.17e-06,48403744210,1159
2021-08-06T10:30:00.0000000Z,2021-08-06T10:45:00.0000000Z,2021-08-06T10:30:01.8050000Z,2021-08-06T10:44:58.0580000Z,6.16e-06,6.17e-06,6.16e-06,6.16e-06,46131789438,1175
2021-08-06T10:45:00.0000000Z,2021-08-06T11:00:00.0000000Z,2021-08-06T10:45:00.2150000Z,2021-08-06T10:59:59.4170000Z,6.16e-06,6.18e-06,6.16e-06,6.18e-06,60505468223,1596
2021-08-06T11:00:00.0000000Z,2021-08-06T11:15:00.0000000Z,2021-08-06T11:00:00.1350000Z,2021-08-06T11:14:59.9780000Z,6.17e-06,6.18e-06,6.16e-06,6.17e-06,43085017493,1171
2021-08-06T11:15:00.0000000Z,2021-08-06T11:30:00.0000000Z,2021-08-06T11:15:00.2630000Z,2021-08-06T11:29:59.5270000Z,6.16e-06,6.17e-06,6.16e-06,6.17e-06,44126995015,1122
2021-08-06T11:30:00.0000000Z,2021-08-06T11:45:00.0000000Z,2021-08-06T11:30:00.9080000Z,2021-08-06T11:44:58.0120000Z,6.16e-06,6.19e-06,6.16e-06,6.17e-06,60710378354,1373
2021-08-06T11:45:00.0000000Z,2021-08-06T12:00:00.0000000Z,2021-08-06T11:45:02.4020000Z,2021-08-06T11:59:58.4790000Z,6.17e-06,6.18e-06,6.16e-06,6.17e-06,62066329055,1480
2021-08-06T12:00:00.0000000Z,2021-08-06T12:15:00.0000000Z,2021-08-06T12:00:00.8030000Z,2021-08-06T12:14:57.9510000Z,6.16e-06,6.18e-06,6.15e-06,6.18e-06,67730715727,1822
2021-08-06T12:15:00.0000000Z,2021-08-06T12:30:00.0000000Z,2021-08-06T12:15:00.1170000Z,2021-08-06T12:29:59.5600000Z,6.18e-06,6.19e-06,6.17e-06,6.19e-06,61263094851,1717
2021-08-06T12:30:00.0000000Z,2021-08-06T12:45:00.0000000Z,2021-08-06T12:30:01.3480000Z,2021-08-06T12:44:59.0870000Z,6.18e-06,6.19e-06,6.17e-06,6.17e-06,60630578236,1613
2021-08-06T12:45:00.0000000Z,2021-08-06T13:00:00.0000000Z,2021-08-06T12:45:01.2940000Z,2021-08-06T12:59:58.9150000Z,6.17e-06,6.18e-06,6.16e-06,6.17e-06,78809992670,1454
2021-08-06T13:00:00.0000000Z,2021-08-06T13:15:00.0000000Z,2021-08-06T13:00:00.5020000Z,2021-08-06T13:14:59.3550000Z,6.17e-06,6.19e-06,6.17e-06,6.19e-06,64381870117,1173
2021-08-06T13:15:00.0000000Z,2021-08-06T13:30:00.0000000Z,2021-08-06T13:15:00.8100000Z,2021-08-06T13:29:59.9980000Z,6.18e-06,6.2e-06,6.18e-06,6.19e-06,90097397198,1698
2021-08-06T13:30:00.0000000Z,2021-08-06T13:45:00.0000000Z,2021-08-06T13:30:00.9880000Z,2021-08-06T13:44:59.1170000Z,6.2e-06,6.24e-06,6.19e-06,6.23e-06,140004557770,2338
2021-08-06T13:45:00.0000000Z,2021-08-06T14:00:00.0000000Z,2021-08-06T13:45:00.0110000Z,2021-08-06T13:59:59.9230000Z,6.23e-06,6.29e-06,6.23e-06,6.26e-06,277225550925,4750
2021-08-06T14:00:00.0000000Z,2021-08-06T14:15:00.0000000Z,2021-08-06T14:00:00.0750000Z,2021-08-06T14:14:57.4010000Z,6.26e-06,6.28e-06,6.23e-06,6.23e-06,150409370718,2829
2021-08-06T14:15:00.0000000Z,2021-08-06T14:30:00.0000000Z,2021-08-06T14:15:01.6410000Z,2021-08-06T14:29:58.7500000Z,6.23e-06,6.24e-06,6.21e-06,6.22e-06,129442082556,1996
2021-08-06T14:30:00.0000000Z,2021-08-06T14:45:00.0000000Z,2021-08-06T14:30:00.5710000Z,2021-08-06T14:44:59.7470000Z,6.22e-06,6.23e-06,6.22e-06,6.22e-06,60665083722,1257
2021-08-06T14:45:00.0000000Z,2021-08-06T15:00:00.0000000Z,2021-08-06T14:45:00.1360000Z,2021-08-06T14:59:58.6900000Z,6.22e-06,6.27e-06,6.22e-06,6.26e-06,152541550089,1881
2021-08-06T15:00:00.0000000Z,2021-08-06T15:15:00.0000000Z,2021-08-06T15:00:00.1430000Z,2021-08-06T15:14:56.8980000Z,6.25e-06,6.27e-06,6.24e-06,6.26e-06,76895829638,1526
2021-08-06T15:15:00.0000000Z,2021-08-06T15:30:00.0000000Z,2021-08-06T15:15:00.2450000Z,2021-08-06T15:29:59.9400000Z,6.25e-06,6.28e-06,6.25e-06,6.27e-06,127851360422,2453
2021-08-06T15:30:00.0000000Z,2021-08-06T15:45:00.0000000Z,2021-08-06T15:30:01.6540000Z,2021-08-06T15:44:59.8690000Z,6.27e-06,6.29e-06,6.26e-06,6.27e-06,162436354369,2580
2021-08-06T15:45:00.0000000Z,2021-08-06T16:00:00.0000000Z,2021-08-06T15:45:00.6440000Z,2021-08-06T15:59:59.6820000Z,6.27e-06,6.3e-06,6.27e-06,6.28e-06,163071653909,2623
2021-08-06T16:00:00.0000000Z,2021-08-06T16:15:00.0000000Z,2021-08-06T16:00:00.0000000Z,2021-08-06T16:14:59.5680000Z,6.28e-06,6.3e-06,6.27e-06,6.27e-06,255880215599,3943
2021-08-06T16:15:00.0000000Z,2021-08-06T16:30:00.0000000Z,2021-08-06T16:15:00.1670000Z,2021-08-06T16:29:59.8010000Z,6.27e-06,6.28e-06,6.24e-06,6.28e-06,229186979914,3795
2021-08-06T16:30:00.0000000Z,2021-08-06T16:45:00.0000000Z,2021-08-06T16:30:00.4160000Z,2021-08-06T16:44:59.2810000Z,6.27e-06,6.29e-06,6.25e-06,6.29e-06,138497784565,2361
2021-08-06T16:45:00.0000000Z,2021-08-06T17:00:00.0000000Z,2021-08-06T16:45:00.0280000Z,2021-08-06T16:59:58.6500000Z,6.28e-06,6.29e-06,6.25e-06,6.26e-06,89213267500,2015
2021-08-06T17:00:00.0000000Z,2021-08-06T17:15:00.0000000Z,2021-08-06T17:00:00.6800000Z,2021-08-06T17:14:59.2150000Z,6.25e-06,6.29e-06,6.25e-06,6.28e-06,127483509969,2256
2021-08-06T17:15:00.0000000Z,2021-08-06T17:30:00.0000000Z,2021-08-06T17:15:01.6410000Z,2021-08-06T17:29:59.3180000Z,6.29e-06,6.34e-06,6.27e-06,6.34e-06,182789957417,3344
2021-08-06T17:30:00.0000000Z,2021-08-06T17:45:00.0000000Z,2021-08-06T17:30:00.0770000Z,2021-08-06T17:44:59.3270000Z,6.33e-06,6.39e-06,6.33e-06,6.35e-06,304891351911,5649
2021-08-06T17:45:00.0000000Z,2021-08-06T18:00:00.0000000Z,2021-08-06T17:45:01.4890000Z,2021-08-06T17:59:59.7650000Z,6.36e-06,6.38e-06,6.35e-06,6.37e-06,184301343887,2928
2021-08-06T18:00:00.0000000Z,2021-08-06T18:15:00.0000000Z,2021-08-06T18:00:00.4910000Z,2021-08-06T18:14:58.7140000Z,6.37e-06,6.38e-06,6.35e-06,6.35e-06,185964712017,2808
2021-08-06T18:15:00.0000000Z,2021-08-06T18:30:00.0000000Z,2021-08-06T18:15:01.0310000Z,2021-08-06T18:29:59.5650000Z,6.35e-06,6.37e-06,6.34e-06,6.34e-06,87845094454,1950
2021-08-06T18:30:00.0000000Z,2021-08-06T18:45:00.0000000Z,2021-08-06T18:30:00.2090000Z,2021-08-06T18:44:59.7010000Z,6.35e-06,6.36e-06,6.34e-06,6.34e-06,121614095330,2342
2021-08-06T18:45:00.0000000Z,2021-08-06T19:00:00.0000000Z,2021-08-06T18:45:00.2860000Z,2021-08-06T18:59:59.7700000Z,6.34e-06,6.35e-06,6.32e-06,6.34e-06,97103294457,2133
2021-08-06T19:00:00.0000000Z,2021-08-06T19:15:00.0000000Z,2021-08-06T19:00:00.0240000Z,2021-08-06T19:14:58.8020000Z,6.34e-06,6.37e-06,6.33e-06,6.36e-06,146659314522,2422
2021-08-06T19:15:00.0000000Z,2021-08-06T19:30:00.0000000Z,2021-08-06T19:15:00.0620000Z,2021-08-06T19:29:59.7360000Z,6.36e-06,6.39e-06,6.36e-06,6.37e-06,106457111052,2205
2021-08-06T19:30:00.0000000Z,2021-08-06T19:45:00.0000000Z,2021-08-06T19:30:02.1120000Z,2021-08-06T19:44:59.9400000Z,6.38e-06,6.42e-06,6.35e-06,6.41e-06,213151682927,4478
2021-08-06T19:45:00.0000000Z,2021-08-06T20:00:00.0000000Z,2021-08-06T19:45:00.1680000Z,2021-08-06T19:59:59.2500000Z,6.41e-06,6.42e-06,6.36e-06,6.39e-06,202932297001,3142
2021-08-06T20:00:00.0000000Z,2021-08-06T20:15:00.0000000Z,2021-08-06T20:00:00.3550000Z,2021-08-06T20:14:56.7480000Z,6.39e-06,6.4e-06,6.37e-06,6.37e-06,86207740062,1801
2021-08-06T20:15:00.0000000Z,2021-08-06T20:30:00.0000000Z,2021-08-06T20:15:01.2480000Z,2021-08-06T20:29:59.9250000Z,6.37e-06,6.38e-06,6.3e-06,6.32e-06,133408196225,2778
2021-08-06T20:30:00.0000000Z,2021-08-06T20:45:00.0000000Z,2021-08-06T20:30:00.1890000Z,2021-08-06T20:44:59.8020000Z,6.32e-06,6.36e-06,6.32e-06,6.34e-06,59573728309,1446
2021-08-06T20:45:00.0000000Z,2021-08-06T21:00:00.0000000Z,2021-08-06T20:45:00.3140000Z,2021-08-06T20:59:59.6420000Z,6.34e-06,6.36e-06,6.32e-06,6.33e-06,89998365590,1614
2021-08-06T21:00:00.0000000Z,2021-08-06T21:15:00.0000000Z,2021-08-06T21:00:01.1760000Z,2021-08-06T21:14:59.6950000Z,6.32e-06,6.34e-06,6.25e-06,6.27e-06,159269186303,2656
2021-08-06T21:15:00.0000000Z,2021-08-06T21:30:00.0000000Z,2021-08-06T21:15:00.3480000Z,2021-08-06T21:29:59.7080000Z,6.28e-06,6.3e-06,6.27e-06,6.28e-06,58449961353,1370
2021-08-06T21:30:00.0000000Z,2021-08-06T21:45:00.0000000Z,2021-08-06T21:30:00.5350000Z,2021-08-06T21:44:59.6980000Z,6.29e-06,6.3e-06,6.28e-06,6.3e-06,40641136744,1093
2021-08-06T21:45:00.0000000Z,2021-08-06T22:00:00.0000000Z,2021-08-06T21:45:01.0130000Z,2021-08-06T21:59:58.0850000Z,6.29e-06,6.32e-06,6.27e-06,6.28e-06,63548833677,1493
2021-08-06T22:00:00.0000000Z,2021-08-06T22:15:00.0000000Z,2021-08-06T22:00:00.6220000Z,2021-08-06T22:14:59.4050000Z,6.27e-06,6.3e-06,6.27e-06,6.29e-06,58052420424,1237
2021-08-06T22:15:00.0000000Z,2021-08-06T22:30:00.0000000Z,2021-08-06T22:15:02.8800000Z,2021-08-06T22:29:59.7070000Z,6.3e-06,6.3e-06,6.25e-06,6.27e-06,123164168275,1932
2021-08-06T22:30:00.0000000Z,2021-08-06T22:45:00.0000000Z,2021-08-06T22:30:00.6530000Z,2021-08-06T22:44:59.6590000Z,6.27e-06,6.28e-06,6.25e-06,6.26e-06,77920948088,1271
2021-08-06T22:45:00.0000000Z,2021-08-06T23:00:00.0000000Z,2021-08-06T22:45:01.6920000Z,2021-08-06T22:59:59.0990000Z,6.26e-06,6.29e-06,6.25e-06,6.28e-06,50095444799,995
2021-08-06T23:00:00.0000000Z,2021-08-06T23:15:00.0000000Z,2021-08-06T23:00:01.1850000Z,2021-08-06T23:14:59.5110000Z,6.29e-06,6.29e-06,6.26e-06,6.28e-06,34545121498,854
2021-08-06T23:15:00.0000000Z,2021-08-06T23:30:00.0000000Z,2021-08-06T23:15:03.4710000Z,2021-08-06T23:29:58.3620000Z,6.28e-06,6.31e-06,6.27e-06,6.3e-06,41761961476,957
2021-08-06T23:30:00.0000000Z,2021-08-06T23:45:00.0000000Z,2021-08-06T23:30:00.2010000Z,2021-08-06T23:44:59.2260000Z,6.3e-06,6.31e-06,6.29e-06,6.3e-06,51590452180,952
